,brand_name,best_price,os,memory_size,battery_size,sellers_amount,screen_size,model_names,model_specs
429,Samsung,7640.0,Android,64.0,3000.0,1,5.8,Galaxy S8,G950F_Single 64GB
430,Samsung,10787.0,Android,64.0,3500.0,7,6.2,Galaxy S8+,Pro_Max Dual
431,Samsung,8709.0,Android,64.0,3500.0,1,6.2,Galaxy S8+,Pro_Max Dual
432,Samsung,14990.0,Android,128.0,3000.0,1,5.8,Galaxy S9,SM-G960_DS Black
433,Samsung,14990.0,Android,128.0,3000.0,1,5.8,Galaxy S9,SM-G960_DS Black
434,Samsung,14990.0,Android,128.0,3000.0,1,5.8,Galaxy S9,SM-G960_DS Black
435,Samsung,16798.0,Android,128.0,3000.0,8,5.8,Galaxy S9,SM-G960_DS Blue
436,Samsung,16798.0,Android,128.0,3000.0,8,5.8,Galaxy S9,SM-G960_DS Blue
437,Samsung,13720.0,Android,128.0,3000.0,1,5.8,Galaxy S9,SM-G960_DS Grey
438,Samsung,13537.0,Android,128.0,3000.0,9,5.8,Galaxy S9,SM-G960_DS Purple
439,Samsung,11207.0,Android,64.0,3000.0,5,5.8,Galaxy S9,SM-G960_DS Black
440,Samsung,12869.0,Android,128.0,3000.0,1,5.8,Galaxy S9,Pro_Max Dual
441,Samsung,13550.0,Android,128.0,3500.0,1,6.2,Galaxy S9+,SM-G965_DS Black
442,Samsung,13436.0,Android,128.0,3500.0,9,6.2,Galaxy S9+,SM-G965_DS Blue
443,Samsung,13525.0,Android,128.0,3500.0,6,6.2,Galaxy S9+,SM-G965_DS Grey
444,Samsung,14502.0,Android,128.0,3500.0,2,6.2,Galaxy S9+,SM-G965_DS Purple
445,Samsung,14532.0,Android,256.0,3500.0,15,6.2,Galaxy S9+,SM-G965_DS Black
446,Samsung,13837.0,Android,64.0,3500.0,16,6.2,Galaxy S9+,SM-G965_DS Black
447,Samsung,22434.0,Android,256.0,3300.0,13,6.7,Galaxy Z,Flip_5G 8/256GB
448,Samsung,35015.0,Android,256.0,3300.0,16,6.7,Galaxy Z,Flip_SM-F700 Mirror
449,Samsung,51460.0,Android,256.0,4500.0,33,7.6,Galaxy Z,Fold2_12/256GB Black
450,LG,4189.0,Android,32.0,2700.0,1,5.2,H791 Nexus,Pro_Max Dual
451,LG,4189.0,Android,32.0,2700.0,1,5.2,H791 Nexus,Pro_Max Dual
452,LG,3299.0,Android,64.0,3200.0,1,5.7,H990 V20,Pro_Max Dual
453,LG,3299.0,Android,64.0,3200.0,1,5.7,H990 V20,Pro_Max Dual
454,myPhone,5600.0,Android,16.0,5000.0,1,5.0,Hammer Energy,Pro_Max Dual
455,Lenovo,4630.0,Android,64.0,4050.0,10,6.39,K10 Note,Pro_Max Dual
456,Lenovo,5249.0,Android,128.0,4050.0,1,6.39,K10 Note,Pro_Max Dual
457,Oukitel,5101.0,Android,64.0,10000.0,7,6.3,K12 6/64,Pro_Max Dual
458,Oukitel,5101.0,Android,64.0,10000.0,7,6.3,K12 6/64,Pro_Max Dual
459,Oukitel,5039.0,Android,64.0,11000.0,6,6.41,K13 4/64GB,Pro_Max Dual
460,Oukitel,5039.0,Android,64.0,11000.0,6,6.41,K13 4/64GB,Pro_Max Dual
461,Oukitel,5146.0,Android,64.0,11000.0,9,6.41,K13 4/64GB,Pro_Max Dual
462,Oukitel,5331.0,Android,64.0,11000.0,5,6.41,K13 Pro,Pro_Max Dual
463,Lenovo,3786.0,Android,64.0,4050.0,2,5.99,K5 Pro,Pro_Max Dual
464,Oukitel,5467.0,Android,64.0,6000.0,4,7.12,K9 4/64,Pro_Max Dual
465,BlackBerry,5674.0,Android,32.0,3505.0,2,4.5,Redmi Note,Pro_Max Dual
466,Cubot,2500.0,Android,16.0,4400.0,5,5.0,King Kong,Pro_Max Dual
467,Cubot,2500.0,Android,16.0,4400.0,5,5.0,King Kong,Pro_Max Dual
468,Cubot,2500.0,Android,16.0,4400.0,5,5.0,King Kong,Pro_Max Dual
469,Cubot,3046.0,Android,32.0,2000.0,4,4.0,Kingkong mini,Pro_Max Dual
470,Cubot,3046.0,Android,32.0,2000.0,4,4.0,Kingkong mini,Pro_Max Dual
471,Nokia,2600.0,WindowsPhone,16.0,2000.0,1,4.5,Lumia 925,Pro_Max Dual
472,Nokia,2600.0,WindowsPhone,16.0,2000.0,1,4.5,Lumia 925,Pro_Max Dual
473,Nokia,2600.0,WindowsPhone,16.0,2000.0,1,4.5,Lumia 925,Pro_Max Dual
474,Meizu,3190.0,Android,32.0,4000.0,15,6.5,M10 2/32GB,Pro_Max Dual
475,Meizu,3312.0,Android,32.0,4000.0,7,6.5,M10 2/32GB,Pro_Max Dual
476,Meizu,3325.0,Android,32.0,4000.0,33,6.5,M10 3/32GB,Pro_Max Dual
477,Meizu,3608.0,Android,32.0,4000.0,13,6.5,M10 3/32GB,Pro_Max Dual
478,AGM,2840.0,Android,8.0,2500.0,4,2.8,M5 Black,Pro_Max Dual
479,Meizu,3281.0,Android,16.0,4000.0,2,5.5,M6 Note,Pro_Max Dual
480,Meizu,2765.0,Android,16.0,3300.0,3,5.7,M6T 2/16GB,Pro_Max Dual
481,Meizu,2999.0,Android,32.0,3300.0,2,5.7,M6T 3/32GB,Pro_Max Dual
482,Meizu,3855.0,Android,64.0,3100.0,5,5.7,M8 4/64GB,Pro_Max Dual
483,Meizu,3726.0,Android,64.0,3100.0,9,5.7,M8 4/64GB,Pro_Max Dual
484,DOOGEE,3682.0,Android,64.0,4060.0,3,6.0,MIX 2,Pro_Max Dual
485,HUAWEI,13733.0,Android,128.0,4000.0,1,5.9,Mate 10,Pro_Max Dual
486,HUAWEI,14257.0,Android,256.0,4000.0,4,6.0,Mate 10,Pro_Max Dual
487,HUAWEI,13612.0,Android,64.0,4000.0,2,6.53,Mate 20,Pro_Max Dual
488,HUAWEI,13782.0,Android,256.0,4000.0,3,6.0,Mate RS,Porsche_Design Black
489,Xiaomi,11104.0,Android,128.0,4160.0,9,6.57,Mi 10,Lite_6/128GB Grey
490,Xiaomi,12456.0,Android,64.0,4160.0,1,6.57,Mi 10,Lite_6/64GB Grey
491,Xiaomi,12055.0,Android,256.0,4160.0,6,6.57,Mi 10,Lite_8/256GB White
492,Xiaomi,27999.0,Android,256.0,4500.0,1,6.67,Mi 10,Pro_Max Dual
493,Xiaomi,12778.0,Android,128.0,5000.0,49,6.67,Mi 10T,Pro_Max Dual
494,Xiaomi,13236.0,Android,128.0,5000.0,47,6.67,Mi 10T,Pro_Max Dual
495,Xiaomi,9502.0,Android,128.0,4820.0,26,6.67,Mi 10T,Lite_6/128GB Gray
496,Xiaomi,9039.0,Android,64.0,4820.0,5,6.67,Mi 10T,Lite_6/64GB Gray
497,Xiaomi,15767.0,Android,128.0,5000.0,17,6.67,Mi 10T,Pro_8/128GB Black
498,Xiaomi,16756.0,Android,256.0,5000.0,12,6.67,Mi 10T,Pro_8/256GB Black
499,Xiaomi,3989.0,Android,64.0,5300.0,1,6.44,Mi Max,Pro_Max Dual
500,Xiaomi,8999.0,Android,64.0,5260.0,1,6.47,Mi Note,10_Lite Purple
501,Xiaomi,4098.0,Android,32.0,3000.0,1,5.15,Mi5 3/32GB,Pro_Max Dual
502,Vernee,2786.0,Android,64.0,4200.0,4,6.0,Mix 2,Pro_Max Dual
503,Vernee,2865.0,Android,64.0,4200.0,4,6.0,Mix 2,Pro_Max Dual
504,General,2724.0,Android,32.0,3608.201812191104,7,5.7,Mobile GM8,Pro_Max Dual
505,Motorola,2999.0,Android,16.0,4000.0,1,5.0,Moto C,Plus_XT1723 Gold
506,Motorola,2590.0,Android,16.0,2800.0,1,5.0,Moto E4,(XT1762)_Metallic Gray
507,Motorola,4090.0,Android,32.0,5000.0,1,6.0,Moto E5,Plus_XT1924-1 Black
508,Motorola,2590.0,Android,16.0,4000.0,1,5.7,Moto E5,Pro_Max Dual
509,Motorola,2243.0,Android,16.0,2800.0,7,5.0,Moto G5,Pro_Max Dual
510,Motorola,3569.0,Android,32.0,3000.0,2,5.2,Moto G5s,(XT1794)_Lunar (PA7W0024UA)
511,Motorola,3569.0,Android,32.0,3000.0,2,5.2,Moto G5s,(XT1794)_Lunar (PA7W0024UA)
512,Motorola,3569.0,Android,64.0,3000.0,2,5.2,Moto G5s,XT1799_4/64GB (PA930008CN)
513,Motorola,3569.0,Android,64.0,3000.0,2,5.2,Moto G5s,XT1799_4/64GB (PA930008CN)
514,Motorola,3590.0,Android,32.0,4000.0,1,5.7,Moto G6,Play_XT1922-5 Sim
515,Motorola,6545.0,Android,64.0,3200.0,2,5.9,Moto G6,Plus_XT1926 Sim
516,Motorola,3494.0,Android,32.0,3000.0,2,5.7,Moto G7,Play_XT1952-2 Sim
517,Motorola,5790.0,Android,64.0,5000.0,1,6.2,Moto G7,Power_XT1955-4 Ceramic
518,Motorola,5790.0,Android,64.0,5000.0,1,6.2,Moto G7,Power_XT1955-4 Ceramic
519,Motorola,5084.0,Android,64.0,4000.0,10,6.4,Moto G8,Pro_Max Dual
520,Motorola,5084.0,Android,64.0,4000.0,10,6.4,Moto G8,Pro_Max Dual
521,Motorola,5105.0,Android,64.0,4000.0,9,6.4,Moto G8,Pro_Max Dual
522,Motorola,5105.0,Android,64.0,4000.0,9,6.4,Moto G8,Pro_Max Dual
523,Motorola,5573.0,Android,64.0,4000.0,12,6.3,Moto G8,Plus_XT2019-1 Dual
524,Motorola,5432.0,Android,128.0,5000.0,3,6.4,Moto G9,Power_4/128GB (PALR0020RS)
525,Motorola,3490.0,Android,32.0,3050.0,1,5.5,Moto M,Pro_Max Dual
526,Motorola,3490.0,Android,16.0,2300.0,1,5.2,Moto X,(2nd._Gen) 16GB
527,Motorola,5294.0,Android,32.0,3760.0,2,5.4,Moto X,Pro_Max Dual
528,Motorola,5790.0,Android,32.0,3000.0,1,5.2,Moto X4,Pro_Max Dual
529,Motorola,4990.0,Android,32.0,2600.0,1,5.5,Moto Z,Pro_Max Dual
530,Motorola,4990.0,Android,32.0,2600.0,1,5.5,Moto Z,Pro_Max Dual
531,Motorola,4990.0,Android,32.0,2600.0,1,5.5,Moto Z,Pro_Max Dual
532,Motorola,3796.0,Android,32.0,2600.0,4,5.5,Moto Z,Pro_Max Dual
533,Motorola,7094.0,Android,64.0,2730.0,2,5.5,Moto Z2,Force_6/64GB (PA900007UA)
534,Motorola,5999.0,Android,64.0,2730.0,1,5.5,Moto Z2,Force_SS Fine
535,Motorola,5244.0,Android,64.0,3000.0,2,5.5,Moto Z2,Play_Fine (SM4482AJ1K7)
536,Motorola,5244.0,Android,64.0,3000.0,2,5.5,Moto Z2,Play_Lunar (SM4482AC3K7)
537,Motorola,6590.0,Android,64.0,3000.0,2,6.01,Moto Z3,Play_4/64GB Indgo
538,Motorola,11690.0,Android,128.0,3600.0,2,6.4,Moto Z4,Pro_Max Dual
539,Motorola,11690.0,Android,128.0,3600.0,2,6.4,Moto Z4,Pro_Max Dual
540,Bravis,2599.0,Android,16.0,4500.0,1,5.5,N1-550 Cruiser,Pro_Max Dual
541,Bravis,2599.0,Android,16.0,4500.0,1,5.5,N1-550 Cruiser,Pro_Max Dual
542,DOOGEE,2299.0,Android,32.0,3360.0,1,5.84,N10 3/32GB,Pro_Max Dual
543,DOOGEE,2989.0,Android,64.0,4350.0,10,6.3,N20 4/64GB,Pro_Max Dual
544,DOOGEE,4722.0,Android,128.0,4400.0,24,6.3,N20 Pro,Pro_Max Dual
545,DOOGEE,3519.0,Android,128.0,4500.0,8,6.55,N30 4/128GB,Pro_Max Dual
546,DOOGEE,3519.0,Android,128.0,4500.0,8,6.55,N30 4/128GB,Pro_Max Dual
547,Samsung,5494.0,Android,32.0,3000.0,1,5.7,N920C Galaxy,Note_5 (Gold
548,Motorola,3895.0,Android,32.0,3220.0,1,5.3,Nexus 6,Pro_Max Dual
549,OnePlus,12985.0,Android,256.0,4115.0,25,6.44,Nord 12/256GB,Pro_Max Dual
550,OnePlus,12069.0,Android,128.0,4115.0,19,6.44,Nord 8/128GB,Pro_Max Dual
551,OnePlus,9795.0,Android,128.0,4300.0,28,6.49,Nord N10,5G_6/128GB Ice
552,OnePlus,6112.0,Android,64.0,5000.0,28,6.52,Nord N100,Pro_Max Dual
553,Cubot,3491.0,Android,128.0,4200.0,4,6.5,Note 20,Pro_Max Dual
554,Cubot,4494.0,Android,128.0,4200.0,1,6.5,Note 20,Pro_Max Dual
555,Ulefone,2999.0,Android,32.0,3500.0,17,6.1,Note 7P,Pro_Max Dual
556,Ulefone,2999.0,Android,32.0,3500.0,17,6.1,Note 7P,Pro_Max Dual
557,Ulefone,2125.0,Android,16.0,2700.0,33,5.5,Note 8P,Pro_Max Dual
558,Ulefone,2148.0,Android,16.0,2700.0,23,5.5,Note 8P,Pro_Max Dual
559,Ulefone,2148.0,Android,16.0,2700.0,23,5.5,Note 8P,Pro_Max Dual
560,Meizu,4430.0,Android,64.0,4000.0,34,6.2,Note 9,Pro_Max Dual
561,HUAWEI,9372.0,Android,128.0,3750.0,3,6.4,Nova 4,Pro_Max Dual
562,ZTE,8619.0,Android,64.0,3200.0,1,5.5,Nubia Z17,Pro_Max Dual
563,ZTE,8619.0,Android,64.0,3200.0,1,5.5,Nubia Z17,Pro_Max Dual
564,Motorola,4697.0,Android,128.0,3500.0,1,6.34,One Action,Pro_Max Dual
565,Motorola,4697.0,Android,128.0,3500.0,1,6.34,One Action,Pro_Max Dual
566,Motorola,7190.0,Android,64.0,5000.0,1,6.5,One Fusion,4/64GB_Deep Blue
567,Motorola,7071.0,Android,128.0,5000.0,15,6.5,One Fusion+,Pro_Max Dual
568,Motorola,8261.0,Android,128.0,4000.0,3,6.5,One Hyper,XT2027-1_4/128GB Sea
569,Motorola,4550.0,Android,64.0,4000.0,1,6.2,One Macro,Pro_Max Dual
570,Motorola,5290.0,Android,64.0,5000.0,1,6.2,One Power,XT1942-1_4/64GB Sim
571,Motorola,7590.0,Android,128.0,3500.0,1,6.3,One Vision,Pro_Max Dual
572,Motorola,6643.0,Android,128.0,3500.0,2,6.3,One Vision,Pro_Max Dual
573,Motorola,4490.0,Android,64.0,3000.0,1,5.9,One XT1941-4,4/64GB_Dual Black
574,Motorola,9790.0,Android,128.0,4000.0,1,6.4,One Zoom,Pro_Max Dual
575,Motorola,9790.0,Android,128.0,4000.0,1,6.4,One Zoom,Pro_Max Dual
576,HUAWEI,4681.0,Android,128.0,3400.0,18,6.21,P Smart,2020_4/128GB Green
577,HUAWEI,7199.0,Android,128.0,4000.0,4,6.59,P Smart,Pro_6/128GB Black
578,HUAWEI,5802.0,Android,128.0,4000.0,23,6.3,P Smart,S_4/128GB Crystal
579,HUAWEI,4262.0,Android,64.0,3400.0,11,6.21,P smart,2019_3/64GB (51093FSW)
580,HUAWEI,5311.0,Android,128.0,5000.0,39,6.67,P smart,2021_4/128GB Black
581,HUAWEI,4989.0,Android,64.0,4000.0,18,6.59,P smart,Z_4/64GB Green
582,HUAWEI,5380.0,Android,64.0,3340.0,1,6.3,P smart+,Pro_Max Dual
583,Cubot,3320.0,Android,64.0,4000.0,11,6.3,P30 4/64GB,Pro_Max Dual
584,HUAWEI,15464.0,Android,128.0,3650.0,17,6.1,P30 6/128GB,Pro_Max Dual
585,HUAWEI,14906.0,Android,128.0,3650.0,1,6.1,P30 8/128GB,Pro_Max Dual
586,HUAWEI,5821.0,Android,128.0,3340.0,3,6.15,P30 Lite,Pro_Max Dual
587,HUAWEI,6257.0,Android,256.0,3340.0,17,6.15,P30 Lite,Pro_Max Dual
588,HUAWEI,16997.0,Android,128.0,4200.0,14,6.47,P30 Pro,Pro_Max Dual
589,HUAWEI,16798.0,Android,128.0,4200.0,19,6.47,P30 Pro,Pro_Max Dual
590,HUAWEI,15560.0,Android,256.0,4200.0,1,6.47,P30 Pro,Pro_Max Dual
591,HUAWEI,18484.0,Android,256.0,4200.0,18,6.47,P30 Pro,NEW_EDITION Silver
592,HUAWEI,17155.0,Android,128.0,3800.0,18,6.1,P40 8/128GB,Pro_Max Dual
593,HUAWEI,23465.0,Android,256.0,4200.0,9,6.58,P40 Pro,8/256GB_Silver (51095CAL)
594,HUAWEI,31656.0,EMUI,512.0,4200.0,10,6.58,P40 Pro+,Pro_Max Dual
595,HUAWEI,31656.0,EMUI,512.0,4200.0,10,6.58,P40 Pro+,Pro_Max Dual
596,HUAWEI,6789.0,Android,128.0,4000.0,43,6.4,P40 lite,6/128GB_Crush (51095CJX)
597,HUAWEI,4243.0,Android,64.0,4000.0,54,6.39,P40 lite,E_4/64GB Black
598,Smartex,1699.0,Android,16.0,4000.0,1,5.5,P600 Black,Pro_Max Dual
599,Smartex,1699.0,Android,16.0,4000.0,1,5.5,P600 Gold,Pro_Max Dual
600,S-TELL,1799.0,Android,16.0,4000.0,1,5.5,P760 Black,Pro_Max Dual
601,HUAWEI,3487.0,Android,16.0,2680.0,1,5.2,P8 Prestige,Pro_Max Dual
602,HUAWEI,3487.0,Android,16.0,2680.0,1,5.2,P8 Prestige,Pro_Max Dual
603,Tecno,1631.0,Android,16.0,2400.0,25,5.5,POP 2F,B1F_1/16GB Black
604,Tecno,1810.0,Android,16.0,3500.0,39,5.7,POP 3,BB2_1/16GB Sandstone
605,Tecno,2236.0,Android,32.0,5000.0,11,6.0,POP 4,BC2_2/32GB Ice
606,Google,6838.0,Android,128.0,2770.0,4,5.0,Pixel 128GB,Pro_Max Dual
607,Google,13014.0,Android,128.0,2700.0,9,5.0,Pixel 2,Pro_Max Dual
608,Google,6667.0,Android,64.0,2700.0,9,5.0,Pixel 2,Pro_Max Dual
609,Google,12909.0,Android,64.0,3520.0,8,6.0,Pixel 2,XL_64GB Black
610,Google,13500.0,Android,128.0,2915.0,1,5.5,Pixel 3,Pro_Max Dual
611,Google,10274.0,Android,64.0,2915.0,14,5.5,Pixel 3,Pro_Max Dual
612,Google,11238.0,Android,64.0,3430.0,29,6.3,Pixel 3,XL_4/64GB Black
613,Google,4729.0,Android,32.0,2770.0,2,5.0,Pixel 32GB,Pro_Max Dual
614,Google,10071.0,Android,64.0,3000.0,26,5.6,Pixel 3a,Pro_Max Dual
615,Google,11774.0,Android,64.0,3700.0,9,6.0,Pixel 3a,XL_4/64GB Black
616,Google,17187.0,Android,64.0,2800.0,21,5.7,Pixel 4,Pro_Max Dual
617,Google,25548.0,Android,128.0,3700.0,6,6.3,Pixel 4,XL_6/128GB Black
618,Google,19369.0,Android,64.0,3700.0,4,6.3,Pixel 4,XL_6/64GB So
619,Google,15706.0,Android,128.0,3885.0,33,6.24,Pixel 4a,5G_6/128GB Black
620,Google,12106.0,Android,128.0,3140.0,37,5.81,Pixel 4a,Pro_Max Dual
621,Google,21879.0,Android,128.0,4080.0,36,6.0,Pixel 5,Pro_Max Dual
622,Google,5899.0,Android,128.0,3450.0,1,5.5,Pixel XL,Pro_Max Dual
623,Google,5899.0,Android,128.0,3450.0,1,5.5,Pixel XL,Pro_Max Dual
624,Xiaomi,12999.0,Android,128.0,4700.0,1,6.67,Poco F2,Pro_6/128GB Purple
625,Xiaomi,5372.0,Android,128.0,6000.0,41,6.53,Poco M3,Pro_Max Dual
626,Xiaomi,4708.0,Android,64.0,6000.0,34,6.53,Poco M3,Pro_Max Dual
627,Xiaomi,7152.0,Android,128.0,5160.0,59,6.67,Poco X3,NFC_6/128GB Blue
628,Xiaomi,6488.0,Android,64.0,5160.0,57,6.67,Poco X3,NFC_6/64GB Blue
629,Xiaomi,7231.0,Android,128.0,4000.0,16,6.18,Pocophone F1,Pro_Max Dual
630,Tecno,2314.0,Android,16.0,5000.0,18,6.52,Pop 4,Pro_BC3 Cosmic
631,Ulefone,4204.0,Android,64.0,6350.0,23,6.3,Power 6,Pro_Max Dual
632,Ulefone,4335.0,Android,64.0,6350.0,12,6.3,Power 6,Pro_Max Dual
633,Ulefone,4211.0,Android,64.0,6350.0,16,6.3,Power 6,Pro_Max Dual
634,Ulefone,4211.0,Android,64.0,6350.0,16,6.3,Power 6,Pro_Max Dual
635,realme,5957.0,Android,64.0,4035.0,1,6.3,Q 6/64GB,Pro_Max Dual
636,Cubot,4099.0,Android,64.0,4000.0,1,5.5,Quest 4/64GB,Pro_Max Dual
637,Motorola,22713.0,Android,128.0,2510.0,3,6.4,RAZR 2019,Pro_Max Dual
638,Motorola,22760.0,Android,128.0,2510.0,19,6.2,RAZR 2019,Pro_Max Dual
639,ASUS,18618.0,Android,128.0,6000.0,5,6.59,ROG Phone,3_Strix Black
640,ASUS,18993.0,Android,128.0,6000.0,7,6.59,ROG Phone,3_ZS661KS Black
641,ASUS,21964.0,Android,256.0,6000.0,5,6.59,ROG Phone,3_ZS661KS Black
642,ASUS,28384.0,Android,512.0,6000.0,11,6.59,ROG Phone,3_ZS661KS Black
643,ASUS,17510.0,Android,512.0,4000.0,1,6.0,ROG Phone,Pro_Max Dual
644,ASUS,17510.0,Android,512.0,4000.0,1,6.0,ROG Phone,Pro_Max Dual
645,ASUS,17510.0,Android,512.0,4000.0,1,6.0,ROG Phone,Pro_Max Dual
646,Xiaomi,5133.0,Android,128.0,5020.0,10,6.53,Redmi 10x,Pro_Max Dual
647,Xiaomi,5761.0,Android,128.0,5020.0,7,6.53,Redmi 10x,Pro_Max Dual
